p1	p2	p3	p4	p5	p6	p7	p8	p9	p10	p11	p12	p13	p14	p15	p16
If	If	If	If	If	If	If	If	If	If	If	If	If	If	If	If
vaccilation	vacillation	vacillation	vaccilation	vacillation	vacillation	vacillation	vacillation	vacillation	vacillation	vacillation	vacillation	vacillation	vacillation	vacillation	vacillation
dwell	dwell	dwell	dwell	dwell	dwell	dwell	dwell	dwell	dwell	dwell	dwell	dwell	dwell	dwell	dwell
with	with	with	with	with	within	with	with	with	with	with	with	with	with	with	with
the	the	the	the	the	the	the	the	the	the	the	the	the	the	the	the
heart,	heart	heat	heart,	heart	heart	heat	heart	heat	heart	heart	heart	heart	heart	heart	heart
		of													
the	the	the	the	the	the	the	the	the	the	the	the	the	the	the	the
soul	soul	soul	soul	soul	soul	soul	soul	soul	soul	soul	soul	soul	soul	soul	soul
will	will	will	will	will	will	will	will	will	will	will	will	will	will	will	will
see	rue	rue	see	use	rue	rue	rue	rue	rue	rue	rue	rue	rue	rue	rue
it.	it.	it.	it.	it.	it.	it.	it.	it.	it.	it.	it.	it.	it.	it.	it.
Shame	Shame	Shame	Shame	Shame	Shame	Shame	Shame	Shame	Shame	Shame	Shame	Shame	Shame	Shame	Shame
and	and	and	and	and	and	and	and	and	and	and	and	and	and	and	and
honour	honour	honour	honour	horror	honour	honour	honour	honour	honour	honour	honour	honour	honour	honour	honour
clash	clash	dash	clash	clash	clash	dash	clash	clash	clash	clash	clas	clas	clash	clash	clash
with	where	where	with	where	where	where	where	where	where	where	where	where	where	where	where
the	the	the	the	the	the	the	the	the	the	the	the	the	the	the	the
courage	courage	courage	courage	courage	courage	courage	courage	courage	courage	courage	carage	courage	courage	courage	courage
of	of	of	of	of	of	of	of	of	of	of	of	of	of	of	of
a	a	a	a		a	a	a	a		a	a	a	a	a	a
steadfast	steadfast	steadfast	steadfast	steadfast	steadfast	steadfast	steadfast	steadfast	steadfast	steadfast	steadfast	steadfast	steadfast	steadfast	steadfast.
man	man	man	man	man	man	man	man	man	man	man	man	man	man	man	man
is	is	is	is	is	is	is	is	is	is	is	is	is	is	is	is
motley	motley	motle	motley	motley	motley	motlely	motley	motlely	motley	motley	motley	motley	motley	motley	motley
like	like	like	like	like	like	like	like	like	like	like	like	like	like	like	like
a	the	the	the	the	the	the	the	the	the	the	the	the	the	the	the
magpie.	magpie.	magpie.	magpie.	magpie.	magpie.	magpie.	magpie.	magpie.	magpie.	magpie.	magpie.	magpie.	magpie.	magpie.	magpie.
But	But	But	But	But	But	But	But	But	But	But	But	But	But	But	But
such	such	such	such	such	such	such	such	such	such	such	such	such	such	such	such
a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a
man	man	man	man	man	man	man	man	man	man	man	man	man	man	man	man
may	may	may	may	may	may	may	may	may	may	may	may	may	may	may	may
yet	yet	yet	yet	yet	yet	yet	yet	yet	yet	yet	yet	yet	yet	yet	yet
make	make	make	make	make	make	make	make	make	wake	make	make	make	make	make	make
merry,	merry,	merry,	merry,	merry,	merry	merry,	merry,	merry,	merry,	merry,	merry,	merry,	merry	merry,	merry,
for	for	for	for	for	for	for	for	for	for	for	for	for	for	for	for
Heaven	Heaven	Heaven	Heaven	heaven	heaven	Heaven	heaven	Heaven	heaven	heaven	Heaven	Heaven	heaven	Heaven	Heaven
&	and	and	&	and	and	and	and	and	and	and	and	and	and	and	and
Hell	Hell	Hell	Hell	hell	hell	Hell	hell	Hell	hell	hell	Hell	Hell	hell	Hell	Hell
have	have	have	have	have	have	have	have	have	have	have	have	have	have	have	have
equal	equal	equal	equal	equal	equal	equal	equal	equal	equal	equal	equal	equal	equal	equal	equal
part	part	part	part	part	part	part	part	part	part	part	part	part	part	part	part
in	in	in	in	in	in	in	in	in	in	in	in	in	in	in	in
him.	him.	this.	him.	him.	him.	him.	him.	him.	him.	him.	him.	him.	him.	him.	him.
Infidelity's	Infidelity's	Infidelity's	Infidelity's	Infidelity's	Infidelity's	Infidelity's	Infidelity's	Infidelity's	Infidelity's	Infidelity's	Infidelity's	Infidelity's	Infidelity's	Infidelity's	Infidelity's
friend	friend	friend	friend	friend	friend	friend	freind	friend	friend	freind	friend	friend	friend	friend	friend
is	is	is	is	is	is	is	is	is	is	is	is	is	is	is	is
black	black	black	black	black	black	black	black	black	black	black	black	black	black	black	black
all	all	all	all	all	all	all	all	all	all	all	all	all	all	all	all
over	over	over	over	over	over	over	over	over	over	over	over	over	over	over	over
and	and	and	and	and	and	and	and	and	and	and	and	and	and	and	and
takes	takes	takes	takes	takes	takes	takes	takes	takes	takes	takes	takes	takes	takes	takes	takes
on	on		on	on	on		on	on	on	on	on	on	on	on	on
a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a
murky	murkey	murky	murky	murky	murky	murky	murky	murky	murky	murky	murky	murky	murky	murky	murky
hue,	hue,	hue,	hue,	hue,	hue,	hue,	hue,	hue,	hue,	hue,	hue,	hue,	hue,	hue,	hue,
while	while	while	while	while	while	while	while	while	while	while	while	while	while	while	while
the	the	the	the	the	the	the	the	the	the	the	the	the	the	the	the
man	man	man	man	man	man	man	man	man	man	man	man	man	man	man	man
of	of	of	of	of	of	of	of	of	of	of	of	of	of	of	of
loyal	loyal	loyal	loyal	loyal	loyal	loyal	loyal	loyal	loyal	loyal	loyal	loyal	loyal	loyal	loyal
temper	temper	temper	temper	temper	temper	temper	temper	temper	temper	temper	temper	temper	temper	temper	temper
holds	holds	holds	holds	holds	holds	holds	holds	holds	holds	holds	holds	holds	holds	hold	holds
to	to	to	to	to	to	to	to	to	to	to	to	to	to	to	to
the	the	the	the	the	the	the	the	the	the	the	the	the	the	the	the
white.	white.	white.	white.	white.	white.	white.	white.	white.	white.	white.	white.	white.	white.	white.	white.
This	This	This	This	This	This	This	This	This	This	This	This	This	This	This	This
winged	winged	winged	winged	winged	winged	winged	winged	winged	winged	winged	winged	winged	winged	winged	winged
companion	comparison	companion	companion	comparison	comparison	companion	comparison	companion	comparison	comparison	comparison	comparison	comparison	comparison	comparison
is	is	is	is	is	is	is	is	is	is	is	is	is	is	is	is
too	too	too	too	too	too	too	too	too	too	too	too	too	too	too	too
swift	swift	swift	swift	swift	swift	swift	swift	swift	swift	swift	swift	swift	swift	swift	swift
for	for	for	for	for	for	for	for	for	for	for	for	for	for	for	for
unripe	unripe	unripe	unripe	unripe	unripe	unripe	unripe	unripe	unripe	unripe	unripe	unripe	unripe	unripe	unripe
wits.	wits.	wits.	wits.	wits.	wits.	wits.	wits.	wits.	wits.	wits.	wits.	wits.	wits.	wits.	wits.
They	They	They	They	They	They	They	They	They	They	They	They	They	They	They	They
lack	lack	lack	lack	lack	lack	lack	lack	lack	lack	lack	lack	lack	lack	lack	lack
the	the	the	the	the	the	the	the	the	the	the	the	the	the	the	the
power	power	power	power	power	power	power	power	power	power	power	power	power	power	power	power
to	to	to	to	to	to	to	to	to	to	to	to	to	to	to	to
grasp	grasp	grasp	grasp	grasp	grasp	grasp	grasp	grasp	grasp	grasp	grasp	grasp	grasp	grasp	grasp
it.	it.	it.	it.	it.	it.	it.	it.	it.	it.	it.	it.	it.	it.	it.	it.
For	For	For	For	For	For	For	For	For	For	For	For	For	For	For	For
it	it	it	it	it	it	it	it	it	it	it	it	it	it	it	it
will	will	will	will	will	will	will	will	will	will	will	will	will	will	will	will
wrench	wrench	wrench	wrench	wrench	wrench	wrench	wrench	wrench	wrench	wrench	wrench	wrench	wrench	wrench	wrench
past	past	past	past	past	past	past	past	past	past	past	past	past	past	past	past
them	them	them	them	them	them	them	them	them	them	them	them	them	them	them	them
like	like	like	like	like	like	like	like	like	like	like	like	like	like	like	like
a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a
startled	startled	startled	startled	startled	startled	startled	startled	startled	startled	startled	startled	startled	startled	startled	startled
horse!	hare!	horse!	horse!	hare!	hare!	horse!	hare!	horse!	hare!	hare!	hare!	hare!	hare!	hare!	hare!
So	So	So	So	So	So	So	So	So	So	So	So	So	So	So	So
it	it	it	it	it	it	it	it	it	it	it	it	it	it	it	it
is	is	is	is	is	is	is	is	is	is	is	is	is	is	is	is
with	with	with	with	with	with	with	with	with	with	with	with	with	with	with	with
a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a
dull	dull	dull	dull	dull	dull	dull	dull	dull	dull	dull	dull	dull	dull	dull	dull
mirror	mirror	mirror	mirror	mirror	mirror	mirror	mirror	mirror	mirror	mirror	mirror	mirror	mirror	mirror	mirror
or	or	or	or	or	or	or	or	or	or	or	or	or	or	or	on
a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a
blind	blind	blind	blind	blind	blind	blind	blind	blind	blind	blind	blind	blind	blind	blind	blind
man's	man's	man's	man's	man's	man's	man's	man's	man's	man's	man's	man's	man's	man's	man's	mans
dream.	dream.	dream.	dream.	dream.	dream.	dream.	dream.	dream	dream.	dream.	dream.	dream.	dream.	dream.	dream.
These	These	These	There	These	These	These	These	These	These	These	These	These	These	These	These
several	reveal	several	several	reveal	several	several	sereal	several	reveal	sireal	reveal	reveal	seaal	reveal	reveal
faces	faces	faces	faces	faces	faces	faces	faces	faces	faces	faces	forces	faces	faces	faces	faces
in	in	in	in	in	in	in	in	in	in	in	in	in	in	in	in
dim	dim	:	dim	dim	dim	dim	dim	dim	dim	dim	dim	dim	dim	dim	dim
outline:	outline		outline:	outline:	outline:	outline:	outline:	outline:	outline:	outline:	outline:	outline:	outline:	outline:	outline.
but	but	but	but	but	but	but	but	but	but	but	but	but	but	but	But
the	the	the	the	the	the	the	the	the	the	the	the	the	the	the	the
dark	dak	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark
image	image	image	image	image	image	image	image	image	image	image	image	image	image	image	image
does	does	does	does	does	does	does	does	does	does	does	does	does	does	does	does
not	not	not	not	not	not	not	not	not	not	not	not	not	not	not	not
abide,	abide,	abide,	abide,	abide,	abide,	abide,	abide,	abide,	abide,	abide,	abide,	abide,	abide,	abide,	abide,
it	it	it	it	it	it	it	it	it	it	it	it	it	it	it	it
gives	gives	gives	gives	gives	gives	gives	gives	gives	gives	gives	gives	gives	gives	gives	gives
but	but	but	but	but	but	but	but	but	but	but	but	but	but	but	but
a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a
moments	moment's	moment's	moment's	moment's	moment's	moments	moment's	moment's	moments	moment's	moment's	moment's	moment's	moment's	moments
joy.	joy.	joy.	joy.	joy.	joy.	joy.	joy.	joy.	joy.	joy.	joy.	joy.	joy.	joy.	joy.
Who	Who	Who	Who	Who	Who	Who	Who	Who	Who	Who	Who	Who	Who	Who	Who
tweaks	tweaks	tweaks	tweaks	tweaks	tweaks	tweaks	tweaks	tweaks	tweaks	tweaks	tweaks	tweaks	tweaks	tweaks	tweaks
my	my	my	my	my	my	my	my	my	my	my	my	my	my	my	my
palm	palm	palm	palm	palm	palm	palm	palm	palm	palm	palm	palm	palm	palm	palm	palm
where	where	where	where	where	where	where	where	where	where	where	where	where	where	where	where
never	never	never	never	never	never	never	never	never	never	never	never	never	never	never	never
a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a
hair	hair	hair	hair	hair	hair	hair	hair	hair	hair	hair	hair	hair	hair	hair	hair
did	did	did	did	did	did	did	did	did	did	did	did	did	did	did	did
grow?	grow?	grow?	grow?	grow?	grow?	grow?	grow?	grow?	grow?	grow?	grow?	grow?	grow?	grow?	grow?
He	He	He	He	He	He	He	He	He	He	We	He	He	He	He	He
would	would	would	would	would	would	would	would	would	would	would	would	would	would	would	would
have	have	have	have	have	have	have	have	have	have	have	have	have	have	have	have
learnt	learnt	learnt	learnt	learnt	learnt	learnt	learnt	learnt	learnt	learnt	learnt	learnt	learnt	learnt	learnt
close	close		close	close	close	does	close	close	close	close	close	close	close	close	close
grips	grips	grips	grips	grips	grips	grips	grips	grips	grips	grips	grips	grips	grips	grips	grips
indeed!	indeed!	indeed!	indeed!	indeed!	indeed!	indeed!	indeed!	indeed!	indeed!	indeed!	indeed!	indeed!	indeed!	indeed!	indeed!
Were	Were	Were	Were	Were	Were	Were	Were	Were	Were	Were	Where	Were	Were	Where	Where
I	I	I	I	I	I	I	I	I	I	I	I	I	I	I	I
to	to	to	to	to	to	to	to	to	to	to	to	to	to	to	to
cry	cry	cry	cry	cry	cry	cry	cry	cry	cry	cry	cry	cry	cry	cry	cry
Oh!',	Oh!'	Oh!'	Oh!',	"OK!"	Oh!'	Oh!'	Oh!'	Oh!'	Ok!'	Oh!'	Oh!'	Oh!'	"Oh!"	Oh!'	Oh'!
in	in	in	in	in	in	in	in	in	in	in	in	in	in	in	in
fear	fear	fear	fear	fear	fear	fear	fear	fear	fear	fear	fear	fear	fear	fear	fear
of	of	of	of	of	of	of	of	of	of	of	of	of	of	of	of
that	that	that	that	that	that	that	that	that	that	that	that	that	that	that	that
it	it	it	it	it	it	it	it	it	it	it	it	it	it	it	it
would	would	would	would	would	would	would	would	would	would	would	would	would	would	would	would
mark	mark	mark	mark	mark	mark	mark	mark	mark	mark	mak	mark	mark	mark	mark	mark
me	me	me	me	me	me	me	me	me	me	me	me	me	me	me	me
as	as	as	as	as	as	as	as	as	as	as	as	as	as	as	as
a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a
fool.	fool.	fool.	fool.	fool.	fool.	fool.	fool.	fool.	fool.	fool.	fool.	fool.	fool.	fool.	fool.
Shall	Shal	Shall	Shall	Shall	Shall	Shall	Shall	Shall	Shall	Shall	Shall	Shall	Shall	Shall	Shall
I	I	I	I	I	I	I	I	I	I	I	I	I	I	I	I
find	find	find	find	find	find	find	find	find	find	find	find	find	find	find	find
loyalty	loyalty	loyalty	loyalty	loyalty	loyalty	loyalty	loyalty	loyalty	loyalty	loyalty	loyalty	loyalty	loyalty	loyalty	loyalty
where	where	where	where	where	where	where	where	where	where	where	where	where	where	where	where
it	it	it	it	it	it	it	it	it	it	it	it	it	it	it	it
must	must	must	must	must	must	must	must	must	must	must	must	must	must	must	must
vanish,	vanish,	vanish,	vanish,	vanish,	vanish,	vanish,	vanish,	vanish,	vanish,	vanish,	vanish,	vanish,	vanish,	vanish,	vanish,
like	like	like	like	like	like	like	like	like	like	like	like	like	like	like	like
fire	fire	fire	fire	fire	fire	fire	fire	fire	fire	fire	fire	fire	fire	fire	fire
in	in	in	in	in	in	in	in	in	in	in	in	in	in	in	in
															in
a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a
well,	well	well	well,	well	well	well	well	well	well	well	well	well	well	well	well
or	or	or	or	or	or	or	or	or	or	or	or	or	or	or	or
dew	dew	dew	dew	dew	dew	dew	dew	dew	dew	dew	dew	dew	dew	dew	dew
in	in	in	in	in	in	in	in	in	in	in	in	in	in	in	in
the	the	the	the	the	the	the	the	the	the	the	the	the	the	the	the
sun?	sun?	sun?	sun?	sun?	sun?	sun?	sun?	sun?	sun?	sun?	sun?	sun?	sun?	sun?	sun?
On	On	On	On	On	On	On	On	On	On	On	On	On	On	On	On
the	the	the	the	the	the	the	the	the	the	the	the	the	the	the	the
other	other	other	other	other	other	other	other	other	other	other	other	other	other	other	other
hand	hand	hand	hand	hand	hand	hand	hand	hand	hand,	hand	hand	hand	hand	hand	hand
I	I	I	I	I	I	I	I	I	I	I	I	I	I	I	I
have	have	have	have	have	have	have	have	have	have	have	have	have	have	have	have
yet	yet	yet	yet	yet	yet	yet	yet	yet	yet	yet	yet	yet	yet	yet	yet
to	to	to	to	to	to	to	to	to	to	to	to	to	to	to	to
meet	meet	meet	meet	meet	meet	meet	meet	meet	meet	meet	meet	meet	meet	meet	meet
a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a
man	man	man	man	man	man	man	man	man	man	man	man	man	man	man	man
so	so	so	so	so	so	so	so	so	so	so	so	so	so	so	so
wise	wise	wise	wise	wise	wise	wise	wise	wise	wise	wise	wise	wise	wise	wise	wise
that	that	that	that	that	that	that	that	that	that	that	that	that	that	that	that
he	he	he	he	he	he	he	he	he	we	he	he	he	he	he	he
would	would	would	would	would	would	would	would	would	would	would	would	would	would	would	would
not	not		not	not	not		not	not	not	not	not	not	not	not	not
gladly	gladly	gladly	gladly	gladly	gladly	gladly	gladly	gladly	gladly	gladly	gladly	gladly	gladly	gladly	gladly
know	know	know	know	know	know	know	know	know	know	know	know	know	know	know	know
what	what	what	what	what	what	what	what	what	what	what	what	what	what	what	where
guidance	guidance	guidance	guidance	guidance	guidance	guidance	guidance	guidance	guidance	guidance	guidance	guidance	guidance	guidance	guidance
this	this	this	this	this	this	this	this	this	this	this	this	this	this	this	this
story	story	story	story	story	story	story	story	story	story	story	story	story	story	story	story
requires,	requires,	requires,	requires,	requires,	requires,	requires,	requires,	requires,	requires,	requires,	requires,	requires,	requires,	requires,	requires,
what	what	what	what	what	what	what	what	what	what	what	what	what	what	what	what
edification	edification	edification	edification	edification	edification	edification	edification	edification	edification	edification	edification	edification	edification	edification	edification
it	it	it	it	it	it	it	it	it	it	it	it	it	it	it	it
brings.	brings.	brings.	brings.	brings.	brings.	brings.	brings.	brings.	brings.	brings.	brings.	brings.	brings.	brings.	brings.
The	The	The	The	The	The	The	The	The	The	The	The	The	The	The	The
tale	tale	tale	tale	tale	tale	tale	tale	tale	tale	tale	tale	tale	tale	tale	tale
never	never	never	never	never	never	never	never	never	never	never	never	never	never	never	never
loses	loses	loses	loses	loses	loses	loses	loses	loses	loses	loses	loses	loses	loses	loses	loses
heart,	heat,	heart,	heart,	heart,	heart,	heart,	heart,	heart,	heart,	heart,	heart,	heart,	heart,	heart,	heart,
but	but	but	but	but	but	but	but	but	but	but	but	but	but	but	but
flees	flees	flees	flees	flees	flees	flees	flees	flees	frees	flees	flees	flees	flees	flees	flees
and	and	and	and	and	and	and	and	and	and	and	and	and	and	and	and
						and									
pursues,	pursues,	pursues,	pursues,	pursues,	pursues,	pursues,	pursues,	pursues,	pursues,	pursues,	pursues,	pursues,	pursues,	pursues,	pursues,
turns	turns	turns	turns	turns	turns	turns	turns	turns	twins	twins	turns	turn	turns	turns	turns
tail	tail	tail	tail	tail	tail	tail	tail	tail	tail	tail	tail	tail	tail	tail	tail
and	&	and	and	and	and	and	and	and	and	and	and	and	and	and	and
wheels	wheels	wheels	wheels	wheels	wheels	wheels	wheels	wheels	wheels	wheels	wheels	wheels	wheels	wheel	wheels
to	to	to	to	to	to	to	to	to	to	to	to	to	to	to	to
the	the	the	the	the	the	the	the	the	the	the	the	the	the	the	the
attack	attack	attack	attack	attack	attack	attack	attack	attack	attack	attack	attack	attack	attack	attack	attack
and	&	and	and	and	and	and	and	and	and	and	and	and	and	and	and
doles	doles	does	doles	doles	doles	doles	doles	doles	doles	doles	doles	doles	doles	doles	doles
out	out	not	out	out	out	out	out	out	out	out	out	out	out	out	out
blame	blame	blame	blame	blame	blame	blame	blame	blame	blame	blame	blame	blame	blame	blame	blame
and	and	and	and	and	and	and	and	and	and	and	and	and	and	and	and
praise.	praise.	praise.	praise.	praise.	praise.	praise.	praise.	praise.	praise.	praise.	praise.	praise.	praise.	praise.	praise.
The	The	The	The	The	The	The	The	The	The	The	The	The	The	The	The
man	man	man	man	man	man	man	man	man	man	man	man	man	man	man	man
who	who	who	who	who	who	who	who	who	who	who	who	who	who	who	who
follows	follows	follows	follows	follows	follows	follows	follows	follows	follows	follows	follows	follows	follows	follows	follows
all	all		all	all	all	all	all	all	all	all	all	all	all	all	all
these	these		there	these	these	these	these	these	these	these	these	these	these	these	these
vicissitudes	vicissitudes	vissitudes	vicissitudes	vicissitudes	vicissitudes	vissitudes	vicissitudes	vicissitudes	vicissitudes	viciscitudes	vicissitudes	vicissitudes	vicissitudes	vicissitudes	vicissitudes
and	and	and	and	and	and	and	and	and	and	and	and	and	and	and	and
neither	neither	neither	neither	neither	neither	neither	neither	neither	neither	neither	neither	neither	neither	neither	neither
outs	sits	its	outs	sits	sits	sits	sits	sits	sits	sits	sits	sits	sits	sits	
too	too	too	too	too	too	too	too	too	too	too	too	too	too	too	too
long	long	long	long	long	long	long	long	long	long	long	long	long	long	long	long
or	nor	or	or	nor	nor	or	nor	nor	nor	nor	nor	nor	nor	nor	nor
goes	goes	goes	goes	goes	goes	goes	goes	goes	goes	goes	goes	goes	goes	goes	goes
astray	astray	astray	astray	astray	astray	astray	astray	astray	askay	astray	astray	astray	astray	astray	astray
and	and	and	and	and	and	and	and	and	and	and	and	and	and	and	and
otherwise	otherwise	otherwise	otherwise	otherwise	otherwise	otherwise	otherwise	otherwise	otherwise	otherwise	otherwise	otherwise	otherwise	otherwise	otherwise
knows	knows	knows	knows	knows	knows	knows	knows	knows	knows	knows	knows	knows	knows	knows	knows
where	where	where	where	where	where	where	where	where	where	where	where	where	where	where	where
he	he	he	he	he	he	he	he	he	he	he	he	he	he	he	he
stands	stands	stands	stands	stands	stands	stands	stands	stands	stands	stands	stands	stands	stands	stands	stands
has	has	has	has	has	has	has	has	has	has	has	has	has	has	has	has
been	been	been	been	been	been	been	been	been	been	been	been	been	been	been	been
well	well	well	well	well	well	well	well	well	well	well	well	well	well	well	well
served	served	served	served	served	served	served	served	served	served	served	served	served	served	served	served
by	by	by	by	by	by	by	by	by	by	by	by	by	by	by	by
mother	mother	mother	mother	mother	mother	mother	mother	mother	mother	mother	mother	mother	mother	mother	mother
wit.	wit.	wit.	wit.	wit.	wit.	wit.	wit.	wit.	wit.	wit.	wit.	wit.	wit.	wit.	wit.
Feigned	Feigned	Feyned	Feigned	Feigned	Feigned	Feigned	Feigned	Feigned	Feigned	Feigned	Feigned	Feigned	Feigned	Feigned	Feigned
friendship	friendship	friendship	friendship	friendship	friendship	friendship	friendship	friendship	friendship	friendship	friendship	friendship	friendship	friendship	friendship
leads	leads	leads	leads	leads	leads	leads	leads	leads	leads	leads	leads	leads	leads	leads	leads
to	to	to	to	to	to	to	to	to	to	to	to	to	to	to	to
the	the	slee	the	the	the	the	the	the	the	the	the	the	the	the	the
fire,	fire,	fire,	fire,	fire,	fire,	fire,	fire,	fire,	fire,	fire,	fire,	fire,	fire,	fire,	fire,
it	it	it	it	it	it	it	it	it	it	it	it	it	it	it	it
destroy	destroys	destroys	destroy	destroys	destroys	destroys	destroys	destroys	destroys	destroys	destroys	destroys	destroys	destroys	destroys
a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a
man's	man's	mans	man's	man's	man's	mans	man's	man's	man's	man's	man's	man's	man's	man's	man's
nobility	nobility	nobility	nobility	nobility	nobility	nobility	nobility	nobility	nobility	nobility	nobility	nobility	nobility	nobility	nobility
like	like	like	like	like	like	like	like	like	like	like	like	like	like	like	like
hail.	hail.	hair.	hail.	bail.	hail.	hair.	hail.	hail.	bail.	hail.	hail.	hail.	hail.	hail.	hail.
Its	Its	Its	It's	Its	Its	Its	It's	Its	His	Its	Its	Its	Its	Its	Its
loyalty	loyalty	loyalty	loyalty	loyalty	loyalty	loyalty	loyalty	loyalty	loyalty	loyalty	loyalty	loyalty	loyalty	loyalty	loyalty
is	is	is	is	is	is	is	is	is	is	is	is	is	is	is	is
so	so	so	so	so	so	so	so	so	so	so	so	so	so	so	so
short	short	short	short	short	short	short	short	short	short	short	short	short	short	short	short
in	in	in	in	in	in	in	in	in	in	in	in	in	in	in	in
the	the	the	the	the	the	the	the	the	the	the	the	the	the	the	the
tail	tail	lait	tail	tail	tail	tail	tail	tail	tail	tail	tail	tail	tail	tail	tail
that	that	that	that	that	that	that	that	that	that	that	that	that	that	that	that
if	if	if	if	if	if	if	if	if	if	if	if	if	if	if	if
it	it	it	it	it	it	it	it	it	it	it	it	it	it	it	it
meet	meet	meet	meet	meet	meet	meet	meet	meet	meet	met	meet	meet	meet	meet	meets
in	in	in	in	in	in	in	in	in	in	in	in	in	in	in	in
the	the	the	the	the	the	the	the	the	the	the	the	the	the	the	the
wood	wood	wood	wood	wood	wood	wood	wood	wood	wood	wood	wood	wood	wood	wood	wood
with	with	with	with	with	with	with	with	with	with	with	with	with	with	with	with
gadflies	gadflies	gadflies	gadflies	gadflies	gadflies	gadflies	gad	gadflies	gad	gad	gadflies	gadflies	gad	gadflies	gadflies
							flies		flies	flies			flies		
