n1	n2	n3	n4	n5	n6	n7	n8	n9	n10	n11	n12	n13
Notre	Notre	Notre	Notre	Notre	Notre	Notre	Notre	Notre	Notre	Notre	Notre	Notre
besoin	besoin	besoin	besoin	besoin	besoin	besoin	besoin	besoin	besoin	besoin	besoin	besoin
de	de	de	de	de	de	de	de	de	de	de	de	de
consolation	consolation	consolation	consolation	consolation	consolation	consolation	consolation	consolation	consolation	consolation	consolation	consolation
est	est	est	est	est	est	est	est	est	est	est	est	est
impossible	impossible	impossible	impossible	impossible	impossible	impossible	impossible	impossible	impossible	impossible	impossible	impossible
à	à	à	à	à	à	à	à	à	à	à	à	à
rassasier	rassasier	rassasier	rassasier	rassasier	rassasier	rassasier	rassassier	rassasier	rassasier	rassasier	rassasier	rassasier
		de	de		de		de	de	de	de	de	
Stig	Stig	Stig	Stig	Stig	Stig	Stig	Stig	Stig	Stig	Stig	Stig	Stig
Dagerman	Dagerman	Dagerman	Dagerman	Dagerman	Dagerman	Dagerman	Dagerman	Dagerman	Dagerman	Dagerman	Dagerman	Dagerman
												
Je	Je	Je	Je	Je	Je	Je	Je	Je	Je	Je	Je	Je
suis	suis	suis	suis	suis	suis	suis	suis	suis	suis	suis	suis	suis
dépourvu	dépourvu	dépourvu	dépourvu	dépourvu	dépourvu	dépourvu	dépourvu	dépourvu	dépourvu	dépourvu	dépourvu	dépourvu
de	de	de	de	de	de	de	de	de	de	de	de	de
foi	foi	foi	foi	foi	foi	foi	foi	foi	foi	foi	foi	foi
et	et	et	et	et	et	et	et	et	et	et	et	et
ne	ne	ne	ne	ne	ne	ne	ne	ne	ne	ne	ne	ne
puis	puis	puis	puis	puis	puis	puis	puis	puis	puis	puis	puis	puis
donc	donc	donc	donc	donc	donc	donc	donc	donc	donc	donc	donc	donc
être	être	être	être	être	être	être	être	être	être	être	être	être
heureux,	heureux,	heureux,	heureux,	heureux,	heureux,	heureux,	heureux,	heureux,	heureux,	heureux,	heureux,	heureux,
car	car	car	car	car	car	car	car	car	car	car	car	car
un	un	un	un	un	un	un	un	un	un	un	un	un
homme	homme	homme	homme	homme	homme	homme	homme	homme	homme	homme	homme	homme
qui	qui	qui	qui	qui	qui	qui	qui	qui	qui	qui	qui	qui
risque	risque	risque	risque	risque	risque	risque	risque	risque	risque	risque	risque	risque
de	de	de	de	de	de	de	de	de	de	de	de	de
craindre	craindre	craindre	craindre	craindre	craindre	craindre	craindre	craindre	craindre	craindre	craindre	craindre
que	que	que	que	que	que	que	que	que	que	que	que	que
sa	sa	sa	sa	sa	sa	sa	sa	sa	sa	sa	sa	sa
vie	vie	vie	vie	vie	vie	vie	vie	vie	vie	vie	vie	vie
ne	ne	ne	ne	ne	ne	ne	ne	ne	ne	ne	ne	ne
soit	soit	soit	soit	soit	soit	soit	soit	soit	soit	soit	soit	soit
									un	un		
errance	errance	errance	errance	errance	errance	errance	errance	errance	errance	errance	errance	errance
absurde	absurde	absurde	absurde	absurde	absurde	absurde	absurde	absurde	absurde	absurde	absurde	absurde
vers	vers	vers	vers	vers	vers	vers	vers	vers	vers	vers	vers	vers
une	une	une	une	une	une	une	une	une	une	une	une	une
mort	mort	mort	mort	mort	mort	mort	mort	mort	mort	mort	mort	mort
certaine	certaine	certaine	certaine	certaine	certaine	certaine	certaine	certaine	certaine	certaine	certaine	certaine
ne	ne	ne	ne	ne	ne	ne	ne	ne	ne	ne	ne	ne
peut	peut	peut	peut	peut	peut	peut	peut	peut	peut	peut	peut	peut
être	être	être	être	être	être	être	être	être	être	être	être	être
heureux.	heureux.	heureux.	heureux.	heureux.	heureux.	heureux.	heureux.	heureux.	heureux.	heureux.	heureux.	heureux.
Je	Je	J'ai	J'ai	Je	Je	Je	J'ai	Je	Je	Je	J'ai	Je
n'ai	n'ai			n'ai	n'ai	n'ai		n'ai	n'ai	n'ai		n'ai
reçu	reçu	reçu	reçu	reçu	reçu	reçu	reçu	reçu	reçu	reçu	reçu	reçu
en	en	en	en	en	en	en	en	en	en	en	en	en
héritage	héritage	héritage	héritage	héritage	héritage	héritage	héritage	héritage	héritage	héritage	héritage	héritage
ni	ni	ni	ni	ni	ni	ni	ni	ni	ni	ni	ni	ni
dieu,	dieu,	dieu,	dieu,	dieu	dieu,	dieu,	dieu,	dieu,	dieu,	dieu,	dieu,	dieu,
ni	ni	ni	ni	ni	ni	ni	ni	ni	ni	ni	ni	ni
point	point	point	point	point	point	point	point	point	point	point	point	point
fixe	fixe	fixe	fixe	fixe	fixe	fixe	fixe	fixe	fixe	fixe	fixe	fixe
sur	sur	sur	sur	sur	sur	sur	sur	sur	sur	sur	sur	sur
la	la	la	la	la	la	la	la	la	la	la	la	la
terre	terre	terre	terre	terre	terre	terre	terre	terre	terre	terre	terre	terre
d'où	d'où	d'où	d'où	d'où	d'où	d'où	d'où	d'où	d'où	d'où	d'où	d'où
je	je	je	je	je	je	je	je	je	je	je	je	je
puisse	puisse	puisse	puisse	puisse	puisse	puisse	puisse	puisse	puisse	puisse	puisse	puisse
attirer	attirer	attirer	attirer	attirer	attirer	attirer	attirer	attirer	attirer	attirer	attirer	attirer
l'attention	l'attention	l'attention	l'attention	l'attention	l'attention	l'attention	l'attention	l'attention	l'attention	l'attention	l'attention	l'attention
d'un	d'un	d'un	d'un	d'un	d'un	d'un	d'un	d'un	d'un	d'un	d'un	d'un
dieu?	dieu?	dieu...	dieu?	dieu?	dieu?	dieu.	dieu?	dieu...	dieu..	dieu..	dieu...	dieu...
On	On	On	On	On	On	On	On	On	On	On	On	On
ne	ne	ne	ne	ne	ne	ne	ne	ne	ne	ne	ne	ne
m'a	m'a	m'a	m'a	m'a	m'a	m'a	m'a	m'a	m'a	m'a	m'a	m'a
pas	pas	pas	pas	pas	pas	pas	pas	pas	pas	pas	pas	pas
non	non	non	non	non		non	non	non	non	non	non	non
plus	plus	plus	plus	plus		plus	plus	plus	plus	plus	plus	plus
légué	légué	légué	légué	légué	légué	légué	légué	légué	légué	légué	légué	légué
la	la	la	la	la	la	la	la	la	la	la	la	la
fureur	fureur	fureur	fureur	fureur	fureur	fureur	fureur	fureur	fureur	fureur	fureur	fureur
bien	bien	bien	bien	bien	bien	bien	bien	bien	bien	bien	bien	bien
déguisée	déguisée	déguisée	déguisée	déguisée	déguisée	déguisée	déguisée	déguisée	déguisée	déguisée	déguisée	déguisée
du	du	du	du	du	du	du	du	du	du	du	du	du
sceptique,	sceptique,	sceptique,	sceptique,	sceptique,	sceptique,	sceptique,	sceptique,	sceptique,	sceptique,	sceptique,	sceptique,	sceptique,
les	les	les	les	les	les	les	les	les	les	les	les	les
ruses	ruses	ruses	ruses	ruses	ruses	ruses	ruses	ruses	ruses	ruses	ruses	ruses
des	de	des	des	des	des	de	des	des	de	de	des	des
Sioux	Sioux	Sioux	Sioux	Sioux	Sioux	Sioux	Sioux	Sioux	Sioux	Sioux	Sioux	Sioux
du	du	du	du	du	du	du	du	du	du	du	du	du
rationnaliste	rationnaliste	rationaliste	rationaliste	rationnaliste	rationaliste	rationnaliste	rationaliste	rationaliste	rationaliste	rationaliste	rationaliste	rationnaliste
ou	ou	ou	ou	ou	ou	ou	ou	ou	ou	ou	ou	ou
la	la	la	la	la	la	la	la	la	la	la	la	la
candeur	candeur	candeur	candeur	candeur	candeur	candeur	candeur	candeur	candeur	candeur	candeur	candeur
ardente	ardente	ardente	ardente	ardente	ardente	ardente	ardente	ardente	ardente	ardente	ardente	ardente
de	de	de	de	de	de	de	de	de	de	de	de	de
l'athée.	l'athée.	l'athée.	l'athée.	l'athée.	l'athée.	l'athée.	l'athée.	l'athée.	l'athée.	l'athée.	l'athée.	l'athée.
Je	Je	Je	Je	Je	Je	Je	Je	Je	Je	Je	Je	Je
n'ose	n'ose	n'ose	n'ose	n'ose	n'ose	n'ose	n'ose	n'ose	n'ose	n'ose	n'ose	n'ose
donc	donc	donc	donc	donc	donc	donc	donc	donc	donc	donc	donc	donc
jeter	jeter	jeter	jeter	jeter	jeter	jeter	jeter	jeter	jeter	jeter	jeter	jeter
la	la	la	la	la	la	la	la	la	la	la	la	la
pierre	pierre	pierre	pierre	pierre	pierre	pierre	pierre	pierre	pierre	pierre	pierre	pierre
ni	ni	ni	ni	ni	ni	ni	ni	ni	ni	ni	ni	ni
à	à	à	à	à	à	à	à	à	à	à	à	à
celle	celle	celui	celui	celle	celui	celle	celui	c*le*	celle	celle	celui	celle
qui	qui	qui	qui	qui	qui	qui	qui	qui	qui	qui	qui	qui
croit	croit	croit	croit	croit	croient	croit	croit	croit	crois	croit	croit	croit
									en	en		
des	des	des	des	des	des	des	des	des	des	des	des	des
choses	choses	choses	choses	choses	choses	choses	choses	choses	choses	choses	choses	choses
qui	qui	qui	qui	qui	qui	qui	qui	qui	qui	qui	qui	qui
ne	ne	ne	ne	ne	ne	ne	ne	ne	ne	ne	ne	ne
m'inspirent	m'inspirent	m'inspirent	m'inspirent	m'inspirent	m'inspirent	m'inspire	m'inspirent	m'inspirent	m'inspire	m'inspirent	m'inspirent	m'inspirent
que	que	que	que	que	que	que	que	que	que	que	que	que
le	le	le	le	le	le	le	le	le	le	le	le	le
doute	doute	doute,	doute,	doute	doute,	doute,	doute,	doute,	doute,	doute,	doute,	doute,
ni	ni	ni	ni	ni	ni	ni	ni	ni	ni	ni	ni	ni
à	à	à	à	à	à	à	à	à	à	à	à	à
celui	celui	celui	celui	celui	celui	celui	celui	celui	celui	celui	celui	celui
qui	qui	qui	qui	qui	qui	qui	qui	qui	qui	qui	qui	qui
cultive	cultive	cultive	cultive	cultive	cultive	cultive	cultive	cultive	cultive	cultive	cultive	cultive
son	son	son	son	son	son	son	son	son	son	son	son	son
doute	doute	doute	doute	doute	doute	doute	doute	doute	doute	doute	doute	doute.
comme	comme	comme	comme	comme	comme	comme	comme	comme	comme	comme	comme	Comme
si	si	si	si	si	si	si	si	si	si	si	si	si
celui-ci	celui-ci	celui-ci	celui-ci	celui-ci	celui-ci	celui-ci	celui-ci	celui-ci	celui-ci	celui-ci	celui-ci	celui-ci
n'était	n'était	n'était	n'était	n'était	n'était	n'était	n'était	n'était	n'était	n'était	n'était	n'était
pas,	pas,	pas,	pas,	pas,	pas,	pas,	pas,	pas,	pas,	pas,	pas,	pas,
lui	lui	lui	lui	lui	lui	lui	lui	lui	lui	lui	lui	lui
aussi,	aussi,	aussi,	aussi,	aussi,	aussi,	aussi,	aussi	aussi,	aussi,	aussi,	aussi,	aussi,
entouré	entouré	entouré	entouré	entouré	entouré	entouré		entouré	entouré	entouré	entouré	entouré
de	de	de	de	de	de	de	de	de	de	de	de	de
ténèbres.	ténèbres.	ténèbres.	ténèbres.	ténèbres.	ténèbres.	ténèbres.	ténèbres.	ténèbres.	ténèbres.	ténèbres.	ténèbres.	ténèbres.
Cette	Cette	Cette	Cette	Cette	Cette	Cette	Cette	Cette	Cette	Cette	Cette	Cette
pierre	pierre	pierre	pierre	pierre	pierre	pierre	pierre	pierre	pierre	pierre	pierre	pierre
m'atteindrait	m'atteindrait	m'atteindrait	m'atteindrait	m'atteindrait	m'atteindrait	m'atteindrait	m'atteindrait	m'atteindrait	m'atteindrait	m'atteindrait	m'atteindrait	m'atteindrait
moi-même	moi-même	moi-même	moi-même	moi-même	moi-même	moi-même	moi-même	moi-même	moi-même	moi-même	moi-même	moi-même
car	car	car	car	car	car	car	car	car	car	car	car	car
je	je	je	je	je	je	je	je	je	je	je	je	je
suis	suis	suis	suis	suis	suis	suis	suis	suis	suis	suis	suis	suis
bien	bien	bien	bien	bien	bien	bien	bien	bien	bien	bien	bien	bien
certain	certain	certain	certain	certain	certain	certain	certain	certain	certain	certain	certain	certain
d'une	d'une	d'une	d'une	d'une	d'une	d'une	d'une	d'une	d'une	d'une	d'une	d'une
chose:	chose:	chose:	chose:	chose:	chose:	chose:	chose:	chose:	chose:	chose:	chose:	chose:
le	le	le	le	le	le	le	le	le	le	le	le	le
besoin	besoin	besoin	besoin	besoin	besoin	besoin	besoin	besoin	besoin	besoin	besoin	besoin
de	de	de	de	de	de	de	de	de	de	de	de	de
consolation	consolation	consolation	consolation	consolation	consolation	consolation	consolation	consolation	consolation	consolation	consolation	consolation
que	que	que	que	que	que	que	que	que	que	que	que	que
connait	connaît	connait	connaît	connaît	connait	connaît	connait	connait	connaît	connaît	connaît	connaît
l'être	l'être	l'être	l'être	l'être	l'être	l'être	l'être	l'être	l'être	l'être	l'être	l'être
humain	humain	humain	humain	humain	humain	humain	humain	humain	humain	humain	humain	humain
est	est	est	est	est	est	est	est	est	est	est	est	est
impossible	impossible	impossible	impossible	impossible	impossible	impossible	impossible	impossible	impossible	impossible	impossible	impossible
à	à	à	à	à	à	à	à	à	à	à	à	à
rassasier.	rassasier.	rassasier.	rassasier.	rassassier.	rassasier.	rassasier.	rassassier.	rassasier.	rassasier.	rassasier.	rassasier.	rassasier.
En	En	En	En	En	En	En	En	En	En	En	En	En
ce	ce	ce	ce	ce	ce	ce	ce	ce	ce	ce	ce	ce
qui	qui	qui	qui	qui	qui	qui	qui	qui	qui	qui	qui	qui
me	me	me	me	me	me	me	me	me	me	me	me	me
concerne,	concerne,	concerne,	concerne,	concerne,	concerne,	concerne,	concerne,	concerne,	concerne,	concerne,	concerne,	concerne,
je	je	je	je	je	je	je	je	je	je	je	je	je
traque	traque	traque	traque	traque	traque	traque	traque	traque	traque	traque	traque	traque
la	la	la	la	la	la	la	la	la	la	la	la	la
consolation	consolation	consolation	consolation	consolation	consolation	consolation	consolation	consolation	consolation	consolation	consolation	consolation
comme	comme	comme	comme	comme	comme	comme	comme	comme	comme	comme	comme	comme
le	le	le	le	le	le	le	le	le	le	le	le	le
chasseur	chasseur	chasseur	chasseur	chasseur	chasseur	chasseur	chasseur	chasseur	chasseur	chasseur	chasseur	chasseur
traque	traque	traque	traque	traque	traque	traqu,	traque	traque	tracque	traque	traque	traque
le	le	le	le	le	le	le	le	le	le	le	le	le
gibier.	gibier.	gibier.	gibier.	gibier.	gibier.	gibier.	gibier.	gibier.	gibier.	gibier.	gibier.	gibier.
Partout	Partout	Partout	Partout	Partout	Partout	Partout	Partout	Partout	Partout	Partout	Partout	Partout
où	où	où	où	où	où	où	où	où	où	où	où	où
je	je	je	je	je	je	je	je	je	je	je	je	je
crois	crois	crois	crois	crois	crois	crois	crois	crois	crois	crois	crois	crois
l'apercevoir	l'apercevoir	l'apercevoir	l'apercevoir	l'apercevoir	l'apercevoir	l'apercevoir	l'apercevoir	l'apercevoir	l'apercevoir	l'apercevoir	l'apercevoir	l'apercevoir
dans	dans	dans	dans	dans	dans	dans	dans	dans	dans	dans	dans	dans
la	la	la	la	la	la	la	la	la	la	la	la	la
forêt,	forêt,	forêt,	forêt,	forêt,	forêt,	forêt,	forêt,	forêt,	forêt,	forêt,	forêt,	forêt,
je	je	je	je	je	je	je	je	je	je	je	je	je
tire.	tire.	tire.	tire.	tire.	tire.	tire.	tire.	tire.	tire.	tire.	tire.	tire.
Souvent	Souvent	Souvent,	Souvent,	Souvent	Souvent	Souvent	Souvent,	Souvent	Souvent	Souvent	Souvent,	Souvent
je	je	je	je	je	je	je	je	je	je	je	je	je
n'atteins	n'atteins	n'atteins	n'atteins	n'atteins	n'atteins	n'atteins	n'atteins	n'atteins	n'atteint	n'atteins	n'atteins	n'atteins
que	que	que	que	que	que	que	que	que	que	que	que	que
le	le	le	le	le	le	le	le	le	le	le	le	le
vide	vide,	vide	vide	vide	vide	vide,	vide	vide	vide	vide	vide	vide
mais,	mais	mais,	mais,	mais,	mais,	mais	mais,	mais,	mais,	mais,	mais,	mais,
une	une	une	une	une	une	une	une	une	une	une	une	une
fois	fois	fois	fois	fois	fois	fois	fois	fois	fois	fois	fois	fois
de	de	de	de	de	de	de	de	de	de	de	de	de
temps	temps	temps	temps	temps	temps	temps	temps	temps	temps	temps	temps	temps
en	en	en	en	en	en	en	en	en	en	en	en	en
temps,	temps,	temps,	temps,	temps,	temps,	temps,	temps,	temps,	temps,	temps,	temps,	temps,
une	une	une	une	une	une	une	une	une	une	une	une	une
proie	proie	proie	proie	proie	proie	proie	proi	proie	proie	proie	proie	proie
tombe	tombe	tombe	tombe	tombe	tombe	tombe	tombe	tombe	tombe	tombe	tombe	tombe
à	à	à	à	à	à	à	à	à	à	à	à	à
mes	mes	mes	mes	mes	mes	mes	mes	mes	mes	mes	mes	mes
pieds.	pieds.	pieds.	pieds.	pieds.	pieds.	pieds.	pieds.	pieds.	pieds.	pieds.	pieds.	pieds.
Et,	Et,	Et,	Et,	Et	Et,	Et,	Et,	Et,	Et,	Et,	Et,	Et,
comme	comme	comme	comme	comme	comme	comme	comme	comme	comme	comme	comme	comme
je	je	je	je	je	je	je	je	je	je	je	je	je
sais	sais	sais	sais	sais	sais	sais	sais	sais	sais	sais	sais	sais
que	que	que	que	que	que	que	que	que	que	que	que	que
la	la	la	la	la	la	la	la	la	la	la	la	la
consolation	consolation	consolation	consolation	consolation	consolation	consolation	consolation	consolation	consolation	consolation	consolation	consolation
ne	ne	ne	ne	ne	ne	ne	ne	ne	ne	ne	ne	ne
dure	dure	dure	dure	dure	dure	dure	dure	dure	dure	dure	dure	dure
que	que	que	que	que	que	que	que	que	que	que	que	que
le	le	le	le	le	le	le	le	le	le	le	le	le
temps	temps	temps	temps	temps	temps	temps	temps	temps	temps	temps	temps	temps
d'un	d'un	d'un	d'un	d'un	d'un	d'un	d'un	d'un	d'un	d'un	d'un	d'un
souffle	souffle	souffle	souffle	souffle	souffle	souffle	souffle	souffle	souffle	souffle	souffle	souffle
de	de	de	de	de	de	de	de	de	de	de	de	de
vent	vent	vent	vent	vent	vent	vent	vent	vent	vent	vent	vent	vent
dans	dans	dans	dans	dans	dans	dans	dans	dans	dans	dans	dans	dans
la	la	la	la	la	la	la	la	la	la	la	la	la
cîme	cîme	nime (? or: scime?)	cime	cîme	scime	cîme	nime (?)	scime	scime (?)	scime (?)	cime	cîme
d'un	d'un	d'un	d'un	d'un	d'un	d'un	d'un	d'un	d'un	d'un	d'un	d'un
arbre,	arbre,	arbre,	arbre,	arbre,	arbre,	arbre,	arbre,	arbre,	arbre,	arbre,	arbre,	arbre,
je	je	je	je	je	je	je	je	je	je	je	je	je
me	me	me	me	me	me	me	me	me	me	me	me	me
dépêche	dépêche	dépêche	dépêche	dépêche	dépêche	dépêche	dépêche	dépêche	dépêche	dépêche	dépêche	dépêche
de	de	de	de	de	de	de	de	de	de	de	de	de
m'emparer	m'emparer	m'emparer	m'emparer	m'emparer	m'emparer	m'emparer	m'emparer	m'emparer	m'emparer	m'emparer	m'emparer	m'emparer
de	de	de	de	de	de	de	de	de	de	de	de	de
ma	ma	ma	ma	ma	ma	ma	ma	ma	ma	ma	ma	ma
victime.	victime.	victime.	victime.	victime.	victime.	victime.	victime.	victime.	victime.	victime.	victime.	victime.
Qu'ai-je	Qu'ai-je	Qu'ai-je	Qu'ai-je	Qu'ai-je	Qu'ai-je	Qu'ai-je	Qu'ai-je	Qu'ai-je	Qu'ai-je	Qu'ai-je	Qu'ai-je	Qu'ai-je
alors	alors	alors	alors	alors	alors	alors	alors	alors	alors	alors	alors	alors
entre	entre	entre	entre	entre	entre	entre	entre	entre	entre	entre	entre	entre
les	les	mes	mes	les	mes	les	mes	mes	mes	mes	mes	les
bras?	bras?	bras?	bras?	bras?	bras?	bras?	bras?	bras?	bras?	bras?	bras?	bras?
Puisque	Puisque	Puisque	Puisque	Puisque	Puisque	Puisque	Puisque	Puisque	Puisque	Puisque	Puisque	Puisque
je	je	je	je	je	je	je	je	je	je	je	je	je
suis	suis	suis	suis	suis	suis	suis	suis	suis	suis	suis	suis	suis
solitaire:	solitaire:	solitaire:	solitaire:	solitaire:	solitaire:	solitaire:	solitaire:	solitaire:	solitaire:	solitaire:	solitaire:	solitaire:
une	une	une	une	une	une	une	une	une	une	une	une	une
femme	femme	femme	femme	femme	femme	femme	femme	femme	femme	femme	femme	femme
aimée	aimée	aimée	aimée	aimée	aimée	aimée	aimée	aimée	aimée	aimée	aimée	aimée
ou	ou	ou	ou	ou	ou	ou	ou	ou	ou	ou	ou	ou
un	un	un	un	un	un	un	un	un	un	un	un	un
compagnon	compagnon	compagnon	compagnon	compagnon	compagnon	compagnon	compagnon	compagnon	compagnon	compagnon	compagnon	compagnon
de	de	de	de	de	de	de	de	de	de	de	de	de
voyage	voyage	voyage	voyage	voyage	voyage	voyage	voyage	voyage	voyage	voyage	voyage	voyage
malheureux.	malheureux.	malheureux.	malheureux.	malheureux.	malheureux.	malheureux.	malheureux.	malheureux.	malheureux.	malheureux.	malheureux.	malheureux.
Puisque	Puisque	Puisque	Puisque	Puisque	Puisque	Puisque	Puisque	Puisque	Puisque	Puisque	Puisque	Puisque
je	je	je	je	je	je	je	je	je	je	je	je	je
suis	suis	suis	suis	suis	suis	suis	suis	suis	suis	suis	suis	suis
poète:	poète:	poète:	poète:	poète:	poète:	poète:	poète:	poète:	poète:	poète:	poète:	poète:
un	un	un	un	un	un	un	un	un	un	un	un	un
arc	arc	arc	arc	arc	arc	arc	arc	arc	arche	arc	arc	arc
de	de	de	de	de	de	de	de	de	de	de	de	de
mots	mots	mots	mots	mots	mots	mots	mots	mots	mots	mots	mots	mots
que	que	que	que	que	que	que	que	que	que	que	que	que
je	je	je	je	je	je	je	je	je	je	je	je	je
ressens	ressens	ressens	ressens	ressens	ressens	ressens	ressens	ressens	ressent	ressens	ressens	ressens
